Month of data..

select * from solar_data where event like '%202206%' order by event desc

event	        solar_level	battery_level	battery_load	battery_state	        grid_level	load_level
20220613213014	0.0 kW    	21%       	0.0 kW    	IDLE            	2.2 kW    	2.2 kW    
20220613211514	0.0 kW    	21%       	0.0 kW    	IDLE            	2.1 kW    	2.1 kW    
20220613210014	0.0 kW    	21%       	0.0 kW    	IDLE            	2.0 kW    	2.0 kW    
20220613204514	0.0 kW    	21%       	0.0 kW    	IDLE            	2.1 kW    	2.1 kW    
20220613203014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.4 kW    
20220613201514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613200014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.2 kW    
20220613194514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.2 kW    	1.2 kW    
20220613193015	0.0 kW    	21%       	0.0 kW    	IDLE            	0.9 kW    	0.9 kW    
20220613191514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220613190014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220613184514	0.0 kW    	21%       	0.0 kW    	IDLE            	1.0 kW    	1.0 kW    
20220613183014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.8 kW    	0.8 kW    
20220613181514	0.0 kW    	21%       	0.0 kW    	IDLE            	2.5 kW    	2.5 kW    
20220613180014	0.0 kW    	21%       	0.0 kW    	IDLE            	1.1 kW    	1.1 kW    
20220613174514	0.0 kW    	21%       	0.0 kW    	IDLE            	2.1 kW    	2.1 kW    
20220613173014	0.0 kW    	22%       	0.9 kW    	DISCHARGING     	0.0 kW    	0.9 kW    
20220613171514	0.1 kW    	24%       	1.0 kW    	DISCHARGING     	0.0 kW    	1.1 kW    
20220613170014	0.1 kW    	27%       	0.9 kW    	DISCHARGING     	0.0 kW    	1.0 kW    
20220613164514	0.1 kW    	29%       	0.8 kW    	DISCHARGING     	0.0 kW    	0.9 kW    
20220613163014	0.2 kW    	32%       	0.9 kW    	DISCHARGING     	0.1 kW    	1.0 kW    
20220613161514	0.2 kW    	33%       	0.7 kW    	DISCHARGING     	0.1 kW    	1.0 kW    
20220613160014	0.3 kW    	35%       	0.8 kW    	DISCHARGING     	0.3 kW    	0.8 kW    
20220613154514	0.7 kW    	36%       	0.5 kW    	DISCHARGING     	0.3 kW    	0.9 kW    
20220613153014	1.0 kW    	37%       	0.0 kW    	IDLE            	0.0 kW    	1.0 kW    
20220613151514	1.1 kW    	37%       	0.2 kW    	CHARGING        	0.0 kW    	0.9 kW    
20220613150014	1.1 kW    	37%       	0.2 kW    	CHARGING        	0.0 kW    	0.9 kW    
20220613144514	1.3 kW    	36%       	0.3 kW    	CHARGING        	0.0 kW    	1.0 kW    
20220613143014	1.7 kW    	36%       	0.7 kW    	CHARGING        	0.0 kW    	1.0 kW    
20220613141514	2.2 kW    	35%       	1.0 kW    	CHARGING        	0.0 kW    	1.2 kW    
20220613140014	2.2 kW    	34%       	0.7 kW    	CHARGING        	0.0 kW    	1.5 kW    
20220613134514	2.4 kW    	31%       	1.6 kW    	CHARGING        	0.0 kW    	0.8 kW    
20220613133014	2.3 kW    	28%       	1.5 kW    	CHARGING        	0.1 kW    	0.9 kW    
20220613131514	3.0 kW    	23%       	1.6 kW    	CHARGING        	0.0 kW    	1.4 kW    
20220613130014	3.0 kW    	23%       	1.6 kW    	CHARGING        	0.0 kW    	1.4 kW    
20220613124514	1.0 kW    	22%       	2.4 kW    	DISCHARGING     	0.2 kW    	3.2 kW    
20220613123014	4.1 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	4.2 kW    
20220613121514	4.0 kW    	22%       	2.2 kW    	CHARGING        	0.7 kW    	1.1 kW    
20220613120014	1.6 kW    	24%       	0.1 kW    	DISCHARGING     	0.2 kW    	1.5 kW    
20220613114514	2.0 kW    	23%       	0.5 kW    	CHARGING        	0.0 kW    	1.5 kW    
20220613113015	1.8 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	2.0 kW    
20220613111514	1.4 kW    	21%       	0.0 kW    	IDLE            	0.8 kW    	2.2 kW    
20220613110014	1.3 kW    	21%       	0.0 kW    	IDLE            	2.1 kW    	3.4 kW    
20220613104514	1.3 kW    	21%       	0.0 kW    	IDLE            	0.8 kW    	2.1 kW    
20220613103014	1.0 kW    	21%       	0.0 kW    	IDLE            	1.4 kW    	2.4 kW    
20220613101514	1.5 kW    	21%       	0.0 kW    	IDLE            	2.8 kW    	4.3 kW    
20220613094514	1.0 kW    	21%       	0.0 kW    	IDLE            	4.0 kW    	5.0 kW    
20220613093014	0.7 kW    	21%       	0.0 kW    	IDLE            	3.4 kW    	4.1 kW    
20220613091514	0.4 kW    	21%       	0.0 kW    	IDLE            	0.1 kW    	0.5 kW    
20220613090014	0.6 kW    	21%       	0.0 kW    	IDLE            	0.0 kW    	0.6 kW    
20220613084514	0.6 kW    	21%       	0.0 kW    	IDLE            	0.0 kW    	0.6 kW    
20220613083014	0.4 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.6 kW    
20220613081514	0.4 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.6 kW    
20220613080014	0.3 kW    	21%       	0.0 kW    	IDLE            	0.2 kW    	0.5 kW    
20220613074514	0.2 kW    	21%       	0.0 kW    	IDLE            	0.3 kW    	0.5 kW    
20220613073014	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220613071514	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220613070014	0.1 kW    	21%       	0.0 kW    	IDLE            	0.4 kW    	0.5 kW    
20220613064514	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220613063014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613061513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613060014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613054513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613053014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
20220613051513	0.0 kW    	21%       	0.0 kW    	IDLE            	0.6 kW    	0.6 kW    
20220613050014	0.0 kW    	21%       	0.0 kW    	IDLE            	0.5 kW    	0.5 kW    
